PlayerId,DraftSeason,CollegePosition,ProPosition,FirstName,LastName,Hgt,Wgt,Age,Forty,Arm,Hand,Wing,Test,TestAttempt,TenYard,TwentyYard,ThreeCone,VJ,BJ,TwentyShuttle,SixtyShuttle,BP,BodyFat,LeanMass,IndyInvite
46923,2015,PK,PK,ROBERT,KILGORE,74.88,209,NULL,NULL,31.25,9.125,76.5,30,40,NULL,NULL,NULL,31,9.01,NULL,NULL,NULL,NULL,NULL,N
39442,2014,DS,DS,MARCEL,CARTER,72.38,179,NULL,4.5,32.5,9.125,75.5,14,31,1.61,2.64,7.19,36,9.11,4.33,11.64,13,NULL,NULL,N
67278,2015,DT,DT,DAVIN,HULL,75.88,288,23,5.12,31.5,9.625,76.5,27,47,1.78,2.95,7.52,31.5,8.1,4.66,NULL,27,NULL,NULL,N
38066,2013,DC,DS,DARIUS,FAUCHER,72.25,197,22.8,4.41,31.875,9,75.25,24,35,1.6,2.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
28487,2013,DC,DC,KEVIN,ROBERTS,69.5,184,23,4.59,31.875,9.25,75,14,44,1.61,2.68,6.83,33,9.07,4.21,11.62,14,NULL,NULL,N
10864,2013,LS,LS,BENJAMIN,WATFORD,76.38,228,22.9,4.93,32.375,9.875,78.75,19,28,1.75,2.85,7.2,31.5,9.06,4.6,NULL,18,NULL,NULL,N
96542,2015,OG,OG,ANTHONY,BERGERON,77.5,343,23.9,5.64,32.5,10.375,80.25,18,23,1.94,3.27,8.28,21,7.05,4.9,NULL,25,NULL,NULL,N
28537,2013,WR,WR,JORDAN,BRANDON,74.63,195,NULL,4.42,33.5,9.75,78,12,42,1.56,2.63,7.09,37.5,10.04,4.2,11.26,NULL,NULL,NULL,N
41166,2015,TE,TE,ADAM,FRIERSON,76.38,252,21.6,4.7,33.625,9.25,81.125,24,35,1.66,2.75,7.28,35.5,10.04,4.58,12.09,NULL,NULL,NULL,N
49233,2014,OG,OG,DANIEL,WILBURN,76.88,340,22.8,NULL,33,10.25,80.375,25,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
29088,2015,ILB,ILB,CHRISHON,MOSES,73.38,236,22.9,4.67,32,10,78,28,45,1.61,2.65,6.78,38,10.04,4.15,11.34,20,14,200.909,Y
20961,2013,WR,WR,RHETT,BEYAH,73.25,195,22.8,4.67,31.375,9.5,78,26,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,N
18073,2012,OT,OT,TROY,BROWN,77.25,317,21.6,5.48,34.75,9.75,84.5,22,25,2.03,3.03,8.46,28.5,8.06,5.15,NULL,20,NULL,NULL,N
90320,2012,ILB,ILB,AL-HAJJ,CANTY,71.5,231,22.9,4.83,31,7.875,74.25,21,NULL,1.67,2.78,7.03,30,9,4.4,11.66,20,NULL,NULL,N
99484,2014,DT,OLB,DILLON,CRAPPELL,71.25,248,22.1,4.79,30.625,9.75,74.75,19,48,1.65,2.77,6.97,28,9.02,4.39,11.94,22,NULL,NULL,N
31113,2015,WR,WR,JORDAN,HARPER,74.88,220,24,4.75,32.5,8.875,76.25,19,27,1.68,2.74,7.14,34,9.06,4.44,11.85,9,NULL,NULL,N
58785,2012,DC,DC,ANTHONY,JANIS,72.13,198,21.8,4.53,30.75,9,73.875,26,35,1.58,2.65,6.87,33,9.07,4.25,11.47,13,NULL,NULL,N
17875,2015,DT,DE,CHUKWUEMEKA,TANDY,79.25,286,21.7,NULL,35.875,11,86.875,25,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
